Number,Name,Description,PokemonNumbers
158,Orichalcum Pulse,"Turns the sunlight harsh when entering battle, and boosts Attack while active.
Game descriptions

Scarlet​/​Violet
Turns the sunlight harsh when the Pokémon enters a battle. The ancient pulse thrumming through the Pokémon also boosts its Attack stat in harsh sunlight.

Other languages




English
Orichalcum Pulse


Japanese
ひひいろのこどう


German
Orichalkum-Puls


French
Pouls Orichalque


Italian
Ritmo d’Oricalco


Spanish
Latido Oricalco


Korean
진홍빛고동


Chinese (Simplified)
绯红脉动


Chinese (Traditional)
緋紅脈動",1007
159,Overcoat,Overcoat makes the Pokémon immune to residual damage from weather conditions (specifically Hail and Sandstorm).,"0577,0578,0579,0629,0630,0905,0965,0966"
160,Overgrow,Overgrow increases the power of Grass-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch).,"0001,0002,0003,0152,0153,0154,0252,0253,0254,0387,0388,0389,0495,0496,0497,0650,0651,0652,0722,0723,0724,0724,0810,0811,0812,0906,0907,0908"
161,Own Tempo,"Prevents the Pokémon from becoming confused.
Game descriptions

Ruby​/​SapphireFireRed​/​LeafGreenEmerald
Prevents confusion.

Diamond​/​PearlPlatinumHeartGold​/​SoulSilver
Prevents the Pokémon from becoming confused.

Black​/​WhiteBlack 2​/​White 2
Prevents the Pokémon from becoming confused.

X​/​YO.Ruby​/​A.Sapphire
Prevents the Pokémon from becoming confused.

Sun​/​MoonUltra Sun​/​Ultra Moon
This Pokémon has its own tempo, and that prevents it from becoming confused.

Sword​/​ShieldB.Diamond​/​S.Pearl
This Pokémon has its own tempo, and that prevents it from becoming confused.

Scarlet​/​Violet
The Pokémon sticks to its own tempo, preventing it from becoming confused or being affected by Intimidate.

Other languages




English
Own Tempo


Japanese
マイペース (My Pace)


German
Tempomacher


French
Tempo Perso


Italian
Mente Locale


Spanish
Ritmo Propio


Korean
마이페이스


Chinese (Simplified)
我行我素


Chinese (Traditional)
我行我素","0079,0079,0080,0080,0108,0199,0199,0235,0325,0326,0327,0431,0432,0463,0548,0549,0712,0713,0744,0749,0750,0876,0926,0938,0957,0958,0959"
162,Parental Bond,"Parental Bond allows the ability-bearer to attack twice. The second attack hits with 25% of the power, so in effect it is equivalent to a 25% boost to all attacks.",0115
163,Pastel Veil,Pastel Veil prevents the Pokémon and its teammates from being poisoned. It also cures teammates of poisoning when it enters the battlefield.,"0077,0078"
164,Perish Body,"When hit by a move that makes direct contact, the Pokémon and the attacker will faint after three turns unless they switch out of battle.
Game descriptions

Sword​/​ShieldB.Diamond​/​S.Pearl
When hit by a move that makes direct contact, the Pokémon and the attacker will faint after three turns unless they switch out of battle.

Scarlet​/​Violet
When hit by a move that makes direct contact, the Pokémon and the attacker will faint after three turns unless they switch out of battle.

Other languages




English
Perish Body


Japanese
ほろびのボディ


German
Unheilskörper


French
Corps Condamné


Italian
Ultimotocco


Spanish
Cuerpo Mortal


Korean
멸망의바디


Chinese (Simplified)
灭亡之躯


Chinese (Traditional)
滅亡之軀",0864
165,Pickpocket,"Steals an item when hit by another Pokémon.
Game descriptions

Black​/​WhiteBlack 2​/​White 2
Steals an item when hit by another Pokémon.

X​/​YO.Ruby​/​A.Sapphire
Steals an item from an attacker that made direct contact.

Sun​/​MoonUltra Sun​/​Ultra Moon
Steals an item from an attacker that made direct contact.

Sword​/​ShieldB.Diamond​/​S.Pearl
Steals an item from an attacker that made direct contact.

Scarlet​/​Violet
The Pokémon steals the held item from attackers that make direct contact with it.

Other languages




English
Pickpocket


Japanese
わるいてぐせ (Waruite Guse)


German
Langfinger


French
Pickpocket


Italian
Arraffalesto


Spanish
Hurto


Korean
나쁜손버릇


Chinese (Simplified)
顺手牵羊


Chinese (Traditional)
順手牽羊",0944
166,Pickup,"When another Pokémon on the field uses a single-use held item, a Pokémon with Pickup will obtain the used item (if they are not already holding anything) and it can be used again.","0052,0052,0052,0190,0216,0231,0263,0263,0264,0264,0417,0424,0446,0506,0659,0660,0702,0710,0710,0710,0710,0711,0711,0711,0711,0924,0971"
167,Pixilate,"Pixilate causes all Normal-type attacking moves used by the Pokémon to become Fairy-type, and increase in power by 20%.","0282,0334"
168,Plus,"Ups Sp. Atk if another Pokémon has Plus or Minus.
Game descriptions

Ruby​/​SapphireFireRed​/​LeafGreenEmerald
Powers up with MINUS.

Diamond​/​PearlPlatinum
Boosts Sp. Atk if another Pokémon has Minus.

HeartGold​/​SoulSilver
Ups Sp. Atk if another Pokémon has Minus.

Black​/​WhiteBlack 2​/​White 2
Ups Sp. Atk if another Pokémon has Plus or Minus.

X​/​YO.Ruby​/​A.Sapphire
Boosts the Sp. Atk stat if another Pokémon has Plus or Minus.

Sun​/​MoonUltra Sun​/​Ultra Moon
Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.

Sword​/​ShieldB.Diamond​/​S.Pearl
Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.

Scarlet​/​Violet
Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.

Other languages




English
Plus


Japanese
プラス (Purasu)


German
Plus


French
Plus


Italian
Più


Spanish
Más


Korean
플러스


Chinese (Simplified)
正电


Chinese (Traditional)
正電","0311,0599,0600,0601,0849"
169,Poison Heal,"Restores HP if the Pokémon is poisoned.
Game descriptions

Diamond​/​PearlPlatinumHeartGold​/​SoulSilver
Restores HP if the Pokémon is poisoned.

Black​/​WhiteBlack 2​/​White 2
Restores HP if the Pokémon is poisoned.

X​/​YO.Ruby​/​A.Sapphire
Restores HP if the Pokémon is poisoned.

Sun​/​MoonUltra Sun​/​Ultra Moon
Restores HP if the Pokémon is poisoned, instead of losing HP.

Sword​/​ShieldB.Diamond​/​S.Pearl
Restores HP if the Pokémon is poisoned instead of losing HP.

Scarlet​/​Violet
If poisoned, the Pokémon has its HP restored instead of taking damage.

Other languages




English
Poison Heal


Japanese
ポイズンヒール (Poison Heal)


German
Aufheber


French
Soin Poison


Italian
Velencura


Spanish
Antídoto


Korean
포이즌힐


Chinese (Simplified)
毒疗


Chinese (Traditional)
毒療","0285,0286"
170,Poison Point,"Contact with the Pokémon may poison the attacker.
Game descriptions

Ruby​/​SapphireFireRed​/​LeafGreenEmerald
Poisons foe on contact.

Diamond​/​PearlPlatinumHeartGold​/​SoulSilver
Contact with the Pokémon may poison the foe.

Black​/​WhiteBlack 2​/​White 2
Contact with the Pokémon may poison the attacker.

X​/​YO.Ruby​/​A.Sapphire
Contact with the Pokémon may poison the attacker.

Sun​/​MoonUltra Sun​/​Ultra Moon
Contact with the Pokémon may poison the attacker.

Sword​/​ShieldB.Diamond​/​S.Pearl
Contact with the Pokémon may poison the attacker.

Scarlet​/​Violet
Contact with the Pokémon may poison the attacker.

Other languages




English
Poison Point


Japanese
どくのトゲ (Doku no Toge)


German
Giftdorn


French
Point Poison


Italian
Velenopunto


Spanish
Punto Tóxico


Korean
독가시


Chinese (Simplified)
毒刺


Chinese (Traditional)
毒刺","0030,0031,0033,0034,0117,0194,0211,0211,0315,0406,0407,0543,0544,0545,0690,0691,0904,0980"
171,Poison Puppeteer,Pokémon poisoned by Pecharunt’s moves will also become confused.,1025
172,Poison Touch,"May poison targets when a Pokémon makes contact.
Game descriptions

Black​/​WhiteBlack 2​/​White 2
May poison targets when a Pokémon makes contact.

X​/​YO.Ruby​/​A.Sapphire
May poison a target when the Pokémon makes contact.

Sun​/​MoonUltra Sun​/​Ultra Moon
May poison a target when the Pokémon makes contact.

Sword​/​ShieldB.Diamond​/​S.Pearl
May poison a target when the Pokémon makes contact.

Scarlet​/​Violet
May poison a target when the Pokémon makes contact.

Other languages




English
Poison Touch


Japanese
どくしゅ (Dokushu)


German
Giftgriff


French
Toxitouche


Italian
Velentocco


Spanish
Toque Tóxico


Korean
독수


Chinese (Simplified)
毒手


Chinese (Traditional)
毒手","0088,0089,0537,0690,0691,0945"
173,Power Construct,"Power Construct is unique to Zygarde. When Zygarde 10% Forme or Zygarde 50% Forme falls below half HP, it changes into Zygarde Complete Forme.","0718,0718,0718"
174,Power of Alchemy,"The Pokémon copies the Ability of a defeated ally.
Game descriptions

Sun​/​MoonUltra Sun​/​Ultra Moon
The Pokémon copies the Ability of a defeated ally.

Sword​/​ShieldB.Diamond​/​S.Pearl
The Pokémon copies the Ability of a defeated ally.

Scarlet​/​Violet
The Pokémon copies the Ability of a defeated ally.

Other languages




English
Power of Alchemy


Japanese
かがくのちから (Kagaku no Chikara)


German
Chemiekraft


French
Osmose


Italian
Forza Chimica


Spanish
Reacción Química


Korean
화학의힘


Chinese (Simplified)
化学之力


Chinese (Traditional)
化學之力","0088,0089"
175,Power Spot,"Just being next to the Pokémon powers up moves.
Game descriptions

Sword​/​ShieldB.Diamond​/​S.Pearl
Just being next to the Pokémon powers up moves.

Scarlet​/​Violet
Just being next to the Pokémon powers up moves.

Other languages




English
Power Spot


Japanese
パワースポット


German
Kraftquelle


French
Cercle d’Énergie


Italian
Fonte Energetica


Spanish
Fuente Energía


Korean
파워스폿


Chinese (Simplified)
能量点


Chinese (Traditional)
能量點",0874
176,Prankster,Prankster increases the priority of status moves by +1.,"0354,0546,0547,0641,0642,0707,0859,0860,0861"
177,Pressure,Pressure makes any attack targeted at the ability-bearer - regardless of whether it hits - use 2 PP instead of 1.,"0142,0144,0145,0146,0150,0243,0244,0245,0249,0250,0356,0359,0386,0386,0386,0386,0416,0442,0461,0477,0483,0483,0484,0484,0487,0646,0823,0890,0903"
178,Primordial Sea,Primordial Sea creates heavy rain when the ability is activated (by Kyogre reverting to its Primal form).,0382
179,Prism Armor,"Prism Armor reduces the damage taken from super-effective attacks by 25%. It is not affected by the abilities Mold Breaker, Teravolt, or Turboblaze.","0800,0800,0800"
180,Propeller Tail,"Ignores moves and abilities that draw in moves.
Game descriptions

Sword​/​ShieldB.Diamond​/​S.Pearl
Ignores the effects of opposing Pokémon’s Abilities and moves that draw in moves.

Scarlet​/​Violet
Ignores the effects of opposing Pokémon’s Abilities and moves that draw in moves.

Other languages




English
Propeller Tail


Japanese
スクリューおびれ


German
Schraubflosse


French
Propulseur


Italian
Elicopinna


Spanish
Hélice Caudal


Korean
스크루지느러미


Chinese (Simplified)
螺旋尾鳍


Chinese (Traditional)
螺旋尾鰭","0846,0847"
181,Protean,Protean changes the Pokémon's type to that of its previously used attack.,"0352,0656,0657,0658,0906,0907,0908"
182,Protosynthesis,"Raises highest stat in harsh sunlight, or if holding Booster Energy.
Game descriptions

Scarlet​/​Violet
Boosts the Pokémon’s most proficient stat in harsh sunlight or if the Pokémon is holding Booster Energy.

Other languages




English
Protosynthesis


Japanese
こだいかっせい


German
Paläosynthese


French
Paléosynthèse


Italian
Paleoattivazione


Spanish
Paleosíntesis


Korean
고대활성


Chinese (Simplified)
古代活性


Chinese (Traditional)
古代活性","0984,0985,0986,0987,0988,0989,1005,1009,1020,1021"
183,Psychic Surge,"Psychic Surge creates a low-lying psychic field, like the move Psychic Terrain, when the Pokémon enters battle. It prevents high-priority moves being used and increases the power of Psychic type attacks.",0786
184,Punk Rock,"Boosts sound-based moves and halves damage from the same moves.
Game descriptions

Sword​/​ShieldB.Diamond​/​S.Pearl
Boosts the power of sound-based moves. The Pokémon also takes half the damage from these kinds of moves.

Scarlet​/​Violet
Boosts the power of sound-based moves. The Pokémon also takes half the damage from these kinds of moves.

Other languages




English
Punk Rock


Japanese
パンクロック


German
Punk Rock


French
Punk Rock


Italian
Punk Rock


Spanish
Punk Rock


Korean
펑크록


Chinese (Simplified)
庞克摇滚


Chinese (Traditional)
龐克搖滾","0849,0849"
185,Pure Power,"Raises the Pokémon's Attack stat.
Game descriptions

Ruby​/​SapphireFireRed​/​LeafGreenEmerald
Raises ATTACK.

Diamond​/​PearlPlatinumHeartGold​/​SoulSilver
Boosts the power of physical attacks.

Black​/​WhiteBlack 2​/​White 2
Raises the Pokémon’s Attack stat.

X​/​YO.Ruby​/​A.Sapphire
Boosts the Pokémon’s Attack stat.

Sun​/​MoonUltra Sun​/​Ultra Moon
Using its pure power, the Pokémon doubles its Attack stat.

Sword​/​ShieldB.Diamond​/​S.Pearl
Using its pure power, the Pokémon doubles its Attack stat.

Scarlet​/​Violet
Using its pure power, the Pokémon doubles its Attack stat.

Other languages




English
Pure Power


Japanese
ヨガパワー (Yoga Pawā)


German
Mentalkraft


French
Force Pure


Italian
Forzapura


Spanish
Energía pura


Korean
순수한힘


Chinese (Simplified)
瑜伽之力


Chinese (Traditional)
瑜伽之力","0307,0308,0308"
186,Purifying Salt,"Protects from status conditions and halves damage from Ghost-type moves.
Game descriptions

Scarlet​/​Violet
The Pokémon’s pure salt protects it from status conditions and halves the damage taken from Ghost-type moves.

Other languages




English
Purifying Salt


Japanese
きよめのしお


German
Läutersalz


French
Sel Purificateur


Italian
Sale Purificante


Spanish
Sal Purificadora


Korean
정화의소금


Chinese (Simplified)
洁净之盐


Chinese (Traditional)
潔淨之鹽","0932,0933,0934"
187,Quark Drive,"Raises highest stat on Electric Terrain, or if holding Booster Energy.
Game descriptions

Scarlet​/​Violet
Boosts the Pokémon’s most proficient stat on Electric Terrain or if the Pokémon is holding Booster Energy.

Other languages




English
Quark Drive


Japanese
クォークチャージ


German
Quantenantrieb


French
Charge Quantique


Italian
Carica Quark


Spanish
Carga Cuark


Korean
쿼크차지


Chinese (Simplified)
夸克充能


Chinese (Traditional)
夸克充能","0990,0991,0992,0993,0994,0995,1006,1010,1022,1023"
188,Queenly Majesty,"Prevents use of priority moves.
Game descriptions

Sun​/​MoonUltra Sun​/​Ultra Moon
Its majesty pressures the opposing Pokémon, making it unable to attack using priority moves.

Sword​/​ShieldB.Diamond​/​S.Pearl
Its majesty pressures the opposing Pokémon, making it unable to attack using priority moves.

Scarlet​/​Violet
The Pokémon’s majesty pressures opponents and makes them unable to use priority moves against the Pokémon or its allies.

Other languages




English
Queenly Majesty


Japanese
じょおうのいげん (Joō no Igen)


German
Majestät


French
Prestance Royale


Italian
Regalità


Spanish
Regia Presencia


Korean
여왕의위엄


Chinese (Simplified)
女王的威严


Chinese (Traditional)
女王的威嚴",0763
189,Quick Draw,"Game descriptions

B.Diamond​/​S.Pearl
Enables the Pokémon to move first occasionally.

Scarlet​/​Violet
Enables the Pokémon to move first occasionally.

Other languages




English
Quick Draw


Japanese
クイックドロウ


German
Schnellschuss


French
Tir Vif


Italian
Colpolesto


Spanish
Mano Rápida


Korean
퀵드로


Chinese (Simplified)
速击


Chinese (Traditional)
速擊",0080
190,Quick Feet,"Quick Feet raises the ability-bearer's Speed by 50% when inflicted by a major status ailment (poison, burn, paralysis, freeze or sleep). If paralyzed, the Pokémon does not suffer the usual drop in Speed.","0210,0216,0217,0261,0262"
191,Rain Dish,"A Pokémon with Rain Dish will recover 1⁄16 of its maximum HP during rain, after each turn.","0270,0271,0272"
192,Rattled,"When a Pokémon with Rattled is hit by a Bug, Ghost or Dark type move, its Speed is raised one stage (up to the usual maximum of +6 stages).","0550,0848,0960,0961,0999"
193,Receiver,A Pokémon with Receiver will inherit the ability of a teammate in a double/triple battle when that teammate faints.,0766
194,Reckless,"Reckless increases the power of recoil moves by 20%. By extension, this means the amount of recoil damage taken will increase as more damage is dealt (except for High Jump Kick and Jump Kick which are based on the user's HP).",
195,Refrigerate,"Refrigerate causes all Normal-type attacking moves used by the Pokémon to become Ice-type, and increase in power by 20%.","0362,0698,0699"
196,Regenerator,A Pokémon with Regenerator restores 1⁄3 of its maximum HP when switching out.,"0531,0619,0620,0641,0829,0830,1019"
197,Ripen,"Doubles the effect of berries.
Game descriptions

Sword​/​ShieldB.Diamond​/​S.Pearl
Ripens Berries and doubles their effect.

Scarlet​/​Violet
Ripens Berries and doubles their effect.

Other languages




English
Ripen


Japanese
じゅくせい


German
Heranreifen


French
Mûrissement


Italian
Maturazione


Spanish
Maduración


Korean
숙성


Chinese (Simplified)
熟成


Chinese (Traditional)
熟成","0840,0841,0842"
198,Rivalry,"Deals more damage to a Pokémon of same gender.
Game descriptions

Diamond​/​PearlPlatinumHeartGold​/​SoulSilver
Raises Attack if the foe is of the same gender.

Black​/​WhiteBlack 2​/​White 2
Deals more damage to a Pokémon of same gender.

X​/​YO.Ruby​/​A.Sapphire
Deals more damage to Pokémon of the same gender.

Sun​/​MoonUltra Sun​/​Ultra Moon
Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.

Sword​/​ShieldB.Diamond​/​S.Pearl
Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.

Scarlet​/​Violet
The Pokémon’s competitive spirit makes it deal more damage to Pokémon of the same gender, but less damage to Pokémon of the opposite gender.

Other languages




English
Rivalry


Japanese
とうそうしん (Tōsōshin)


German
Rivalität


French
Rivalité


Italian
Antagonismo


Spanish
Rivalidad


Korean
투쟁심


Chinese (Simplified)
斗争心


Chinese (Traditional)
鬥爭心","0030,0031,0033,0034,0403,0404,0405,0610,0611,0612,0667,0668"
199,RKS System,"Changes type depending on held item.
Game descriptions

Sun​/​MoonUltra Sun​/​Ultra Moon
Changes the Pokémon’s type to match the memory disc it holds.

Sword​/​ShieldB.Diamond​/​S.Pearl
Changes the Pokémon’s type to match the memory disc it holds.

Scarlet​/​Violet
Changes the Pokémon’s type to match the memory disc it holds.

Other languages




English
RKS System


Japanese
ＡＲシステム (AR System)


German
Alpha-System


French
Système Alpha


Italian
Sistema Primevo


Spanish
Sistema Alfa


Korean
AR시스템


Chinese (Simplified)
ＡＲ系统


Chinese (Traditional)
ＡＲ系統",0773
200,Rock Head,"Protects the Pokémon from recoil damage.
Game descriptions

Ruby​/​SapphireFireRed​/​LeafGreenEmerald
Prevents recoil damage.

Diamond​/​PearlPlatinumHeartGold​/​SoulSilver
Protects the Pokémon from recoil damage.

Black​/​WhiteBlack 2​/​White 2
Protects the Pokémon from recoil damage.

X​/​YO.Ruby​/​A.Sapphire
Protects the Pokémon from recoil damage.

Sun​/​MoonUltra Sun​/​Ultra Moon
Protects the Pokémon from recoil damage.

Sword​/​ShieldB.Diamond​/​S.Pearl
Protects the Pokémon from recoil damage.

Scarlet​/​Violet
Protects the Pokémon from recoil damage.

Other languages




English
Rock Head


Japanese
いしあたま (Ishi Atama)


German
Steinhaupt


French
Tête de Roc


Italian
Testadura


Spanish
Cabeza Roca


Korean
돌머리


Chinese (Simplified)
坚硬脑袋


Chinese (Traditional)
堅硬腦袋","0074,0075,0076,0095,0104,0105,0111,0112,0142,0185,0208,0304,0305,0306,0369,0371,0372,0438,0550"
201,Rocky Payload,Rocky Payload increases the power of Rock-type moves used by this Pokémon by 50%.,0962
202,Rough Skin,"When a Pokémon with Rough Skin is hit by a move that makes contact, the attacker receives damage equal to 1⁄8 of their maximum HP.","0318,0319,0621"
203,Run Away,"Run Away allows the bearer to flee a battle with a wild Pokémon without fail, even if the opposing Pokémon has used a move like Mean Look or Bind, or has an ability such as Arena Trap.","0019,0020,0077,0077,0078,0078,0084,0085,0133,0161,0162,0190,0206,0209,0261,0417,0427,0504,0827,0828,0831,0924,0942,0982,0982,0999"
204,Sand Force,"Sand Force raises the power of Ground, Rock and Steel type moves by 30% during a sandstorm.","0208,0445,0529,0530,0645"
205,Sand Rush,Sand Rush doubles the ability-bearer's Speed during a sandstorm.,"0507,0508,0529,0530,0745,0972"
206,Sand Spit,"Creates a sandstorm when hit by an attack.
Game descriptions

Sword​/​ShieldB.Diamond​/​S.Pearl
The Pokémon creates a sandstorm when it’s hit by an attack.

Scarlet​/​Violet
The Pokémon creates a sandstorm when it’s hit by an attack.

Other languages




English
Sand Spit


Japanese
すなはき


German
Sandspeier


French
Expul’Sable


Italian
Sputasabbia


Spanish
Expulsarena


Korean
모래뿜기


Chinese (Simplified)
吐沙


Chinese (Traditional)
吐沙","0843,0844"
207,Sand Stream,"Sand Stream creates a sandstorm when the ability-bearer enters battle. The effect lasts 5 turns, unless it is cleared via Air Lock or Cloud Nine or replaced by another weather condition.","0248,0248,0449,0450,0526"
208,Sand Veil,Sand Veil raises the ability-bearer's evasion by 20% in a sandstorm. It also gives immunity to sandstorm damage (if they are not already protected by being Ground/Rock/Steel type).,"0027,0028,0050,0050,0051,0051,0207,0331,0332,0443,0444,0445,0472,0694,0695"
209,Sap Sipper,"Boosts Attack when hit by a Grass-type move.
Game descriptions

Black​/​WhiteBlack 2​/​White 2
Boosts Attack when hit by a Grass-type move.

X​/​YO.Ruby​/​A.Sapphire
Boosts the Attack stat when hit by a Grass-type move.

Sun​/​MoonUltra Sun​/​Ultra Moon
Boosts the Attack stat if hit by a Grass-type move, instead of taking damage.

Sword​/​ShieldB.Diamond​/​S.Pearl
Boosts the Attack stat if hit by a Grass-type move instead of taking damage.

Scarlet​/​Violet
The Pokémon takes no damage when hit by Grass-type moves. Instead, its Attack stat is boosted.

Other languages




English
Sap Sipper


Japanese
そうしょく (Sōshoku)


German
Vegetarier


French
Herbivore


Italian
Mangiaerba


Spanish
Herbívoro


Korean
초식


Chinese (Simplified)
食草


Chinese (Traditional)
食草","0585,0586,0626,0672,0673,0704,0705,0705,0706,0706,0780"
210,Schooling,"Schooling changes Wishiwashi into its School Form, if its HP is above 25% and Wishiwashi is at least level 20. If its HP falls below 25%, Wishiwashi will revert back to Solo Form.","0746,0746"
211,Scrappy,"Enables moves to hit Ghost-type Pokémon.
Game descriptions

Diamond​/​PearlPlatinumHeartGold​/​SoulSilver
Enables moves to hit Ghost-type foes.

Black​/​WhiteBlack 2​/​White 2
Enables moves to hit Ghost-type Pokémon.

X​/​YO.Ruby​/​A.Sapphire
Makes Normal- and Fighting-type moves hit Ghost-type Pokémon.

Sun​/​MoonUltra Sun​/​Ultra Moon
The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves.

Sword​/​ShieldB.Diamond​/​S.Pearl
The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves.

Scarlet​/​Violet
The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves. It is also unaffected by Intimidate.

Other languages




English
Scrappy


Japanese
きもったま (Kimottama)


German
Rauflust


French
Querelleur


Italian
Nervisaldi


Spanish
Intrépido


Korean
배짱


Chinese (Simplified)
胆量


Chinese (Traditional)
膽量","0115,0241,0428,0973"
212,Screen Cleaner,"Nullifies effects of Light Screen, Reflect, and Aurora Veil.
Game descriptions

Sword​/​ShieldB.Diamond​/​S.Pearl
When the Pokémon enters a battle, the effects of Light Screen, Reflect, and Aurora Veil are nullified for both opposing and ally Pokémon.

Scarlet​/​Violet
When the Pokémon enters a battle, the effects of Light Screen, Reflect, and Aurora Veil are nullified for both opposing and ally Pokémon.

Other languages




English
Screen Cleaner


Japanese
バリアフリー


German
Hemmungslos


French
Brise-Barrière


Italian
Annullabarriere


Spanish
Antibarrera


Korean
배리어프리


Chinese (Simplified)
除障


Chinese (Traditional)
除障","0122,0866"
213,Seed Sower,"Turns the ground into Grassy Terrain when the Pokémon is hit by an attack.
Game descriptions

Scarlet​/​Violet
Turns the ground into Grassy Terrain when the Pokémon is hit by an attack.

Other languages




English
Seed Sower


Japanese
こぼれダネ


German
Streusaat


French
Semencier


Italian
Spargisemi


Spanish
Disemillar


Korean
넘치는씨


Chinese (Simplified)
掉出种子


Chinese (Traditional)
掉出種子",0930
214,Serene Grace,"Serene Grace doubles the chance of moves' secondary effects occurring - specifically stat changes, status ailments, or flinching. It also increases the chance of flinching due to the held items King's Rock and Razor Fang from 10% to 20% (however, note that those items do not affect moves that already have a flinch chance).","0113,0175,0176,0206,0242,0385,0440,0468,0492,0648,0648,0982,0982"
215,Shadow Shield,"Reduces damage when HP is full.
Game descriptions

Sun​/​MoonUltra Sun​/​Ultra Moon
Reduces the amount of damage the Pokémon takes while its HP is full.

Sword​/​ShieldB.Diamond​/​S.Pearl
Reduces the amount of damage the Pokémon takes while its HP is full.

Scarlet​/​Violet
Reduces the amount of damage the Pokémon takes while its HP is full.

Other languages




English
Shadow Shield


Japanese
ファントムガード (Phantom Guard)


German
Phantomschutz


French
Spectro-Bouclier


Italian
Spettroguardia


Spanish
Guardia Espectro


Korean
스펙터가드


Chinese (Simplified)
幻影防守


Chinese (Traditional)
幻影防守",0792
216,Shadow Tag,"Prevents the foe from escaping.
Game descriptions

Ruby​/​SapphireFireRed​/​LeafGreenEmerald
Prevents the foe’s escape.

Diamond​/​PearlPlatinumHeartGold​/​SoulSilver
Prevents the foe from escaping.

Black​/​WhiteBlack 2​/​White 2
Prevents the foe from escaping.

X​/​YO.Ruby​/​A.Sapphire
Prevents opposing Pokémon from escaping.

Sun​/​MoonUltra Sun​/​Ultra Moon
This Pokémon steps on the opposing Pokémon’s shadow to prevent it from escaping.

Sword​/​ShieldB.Diamond​/​S.Pearl
This Pokémon steps on the opposing Pokémon’s shadow to prevent it from escaping.

Scarlet​/​Violet
The Pokémon steps on the opposing Pokémon’s shadows to prevent them from fleeing or switching out.

Other languages




English
Shadow Tag


Japanese
かげふみ (Kage Fumi)


German
Wegsperre


French
Marque Ombre


Italian
Pedinombra


Spanish
Sombra Trampa


Korean
그림자밟기


Chinese (Simplified)
踩影


Chinese (Traditional)
踩影","0094,0202,0360"
217,Sharpness,"Powers up slicing moves.
Game descriptions

Scarlet​/​Violet
Powers up slicing moves.

Other languages




English
Sharpness


Japanese
きれあじ


German
Scharfkantig


French
Incisif


Italian
Affilama


Spanish
Cortante


Korean
예리함


Chinese (Simplified)
锋锐


Chinese (Traditional)
鋒銳",0475
218,Shed Skin,"The Pokémon may heal its own status problems.
Game descriptions

Ruby​/​SapphireFireRed​/​LeafGreenEmerald
Heals the body by shedding.

Diamond​/​PearlPlatinumHeartGold​/​SoulSilver
The Pokémon may heal its own status problems.

Black​/​WhiteBlack 2​/​White 2
The Pokémon may heal its own status problems.

X​/​YO.Ruby​/​A.Sapphire
The Pokémon may heal its own status conditions.

Sun​/​MoonUltra Sun​/​Ultra Moon
The Pokémon may heal its own status conditions by shedding its skin.

Sword​/​ShieldB.Diamond​/​S.Pearl
The Pokémon may heal its own status conditions by shedding its skin.

Scarlet​/​Violet
The Pokémon may cure its own status conditions by shedding its skin.

Other languages




English
Shed Skin


Japanese
だっぴ (Dappi)


German
Expidermis


French
Mue


Italian
Muta


Spanish
Mudar


Korean
탈피


Chinese (Simplified)
蜕皮


Chinese (Traditional)
蛻皮","0011,0014,0023,0024,0147,0148,0247,0266,0268,0336,0401,0412,0412,0412,0559,0560,0588,0665,0843,0844,0967"
219,Sheer Force,"Sheer Force increases the power of moves that have beneficial secondary effects by 30%, but removes those additional effects.","0323,0532,0533,0534,0555,0555,0621,0627,0628,0628,0878,0879,0900"
220,Shell Armor,Shell Armor prevents the Pokémon from receiving a critical hit.,"0080,0090,0091,0098,0099,0131,0138,0139,0341,0342,0366,0557,0558,0589,0616,0705,0706,0776,0833,0834,0950"
